"First","Last","Player","Team","Season","Min","Pos","Shots","SoT","Dist","Solo","G","xG","xPlace","G-xG","KeyP","Dist.key","A","xA","A-xA","xG+xA","PA","xPA","xG/shot","xA/pass","G-xG/shot","A-xA/pass","Comp ($K)","Team/96","Min/96","Pos/96","Shots/96","SoT/96","G/96","xG/96","xPlace/96","G-xG/96","KeyP/96","A/96","xA/96","A-xA/96","xG+xA/96","PA/96","xPA/96","Comp ($K)/96","extreme1","extreme2","plotnames"
"Nemanja","Nikolic","Nemanja Nikolic","CHI",2019,2097,"F",48,22,13.2541074924952,0.229166666666667,12,13.502,-1.16668812014988,-1.50240021892359,21,19.5195241507171,0,2.8315627278896,-2.8315627278896,16.3339629468132,6.53792546650885,9.00928059950762,0.281300004560908,0.134836320375695,-0.0313000045609082,-0.134836320375695,1913,"CHI",2097,"F",2.19742489270386,1.0071530758226,0.549356223175966,0.61813563233985,-0.0534106149424837,-0.0687794091638841,0.96137339055794,0,0.129628050489939,-0.129628050489939,0.747763682829789,0.299304170140605,0.412442030306501,1913,543,537,"Nikolic"
"Chris","Wondolowski","Chris Wondolowski","SJE",2019,2111,"F",79,32,12.8849603987656,0.113924050632911,15,14.311,1.17550435835224,0.688569926015266,24,22.8072339607738,2,2.01696747541906,-0.0169674754190601,16.3283975494038,8.25242690565394,7.42814581801122,0.181157342708668,0.0840403114757942,0.00871607501285146,-0.000706978142460839,800,"SJE",2111,"F",3.59261013737565,1.45523448602558,0.682141165324491,0.650827705875194,0.053457327523361,0.0313134594492968,1.09142586451919,0.0909521553765988,0.0917237696069303,-0.000771614230331489,0.742551475482124,0.375288007078531,0.337802936299895,800,544,543,"Wondolowski"
"Saphir","Taider","Saphir Taider","MTL",2019,2918,"CM",73,24,21.6220481116994,0.328767123287671,9,10.191,0.323254302364193,-1.19063776931086,61,17.8516875544779,7,5.78274028774981,1.21725971225019,15.9733780570607,4.84910010212829,5.05772071758567,0.139597777661793,0.0947990211106527,-0.0163101064289159,0.0199550772500031,1400,"MTL",2918,"CM",2.40164496230295,0.789581905414668,0.2960932145305,0.335264299470131,0.010634822833092,-0.0391710849396308,2.00685400959561,0.230294722412611,0.190247795621653,0.0400469267909589,0.525512095091784,0.159531737424371,0.166395198385272,1400,534,515,"Taider"
"Sebastian","Blanco","Sebastian Blanco","POR",2019,2720,"Wing",106,32,22.5759558155018,0.235849056603774,6,6.858,-0.687023643598852,-0.858368714816455,80,18.4544158385611,10,8.84759409311491,1.15240590688509,15.7059628079314,3.59952306901411,4.2537149525261,0.0647015916492118,0.110594926163936,-0.00809781806430618,0.0144050738360636,1375,"POR",2720,"Wing",3.74117647058824,1.12941176470588,0.211764705882353,0.24206007228764,-0.0242478933034889,-0.0302953664052866,2.82352941176471,0.352941176470588,0.31226802681582,0.0406731496547678,0.55432809910346,0.127041990671086,0.15013111597151,1375,500,489,"Blanco"
"Nicolas","Lodeiro","Nicolas Lodeiro","SEA",2019,2699,"CAM",53,18,22.5746499807309,0.339622641509434,7,6.152,-1.17110065485498,0.847741853606678,86,14.8422521045283,7,9.34225002753984,-2.34225002753984,15.4945081739332,4.13398321411921,3.66984559981215,0.11608034238478,0.108630814273719,0.0159951293133336,-0.0272354654365097,2502,"SEA",2699,"CAM",1.88514264542423,0.64023712486106,0.248981104112634,0.218828003724994,-0.0416545620104032,0.0301531003876403,3.05891070766951,0.248981104112634,0.332291960964737,-0.0833108568521023,0.551119964689731,0.147040529290643,0.130531744194874,2502,494,499,"Lodeiro"
"C.J.","Sapong","C.J. Sapong","CHI",2019,2725,"Wing",62,26,12.7264873970079,0.17741935483871,13,12.32,-2.20438626082567,0.680291768272124,28,22.5639639004467,1,2.92854620450432,-1.92854620450432,15.2482544362322,7.95136667389759,8.20736287831161,0.198704971479482,0.104590935875154,0.0109724478753568,-0.0688766501608684,475,"CHI",2725,"Wing",2.18422018348624,0.915963302752294,0.457981651376147,0.434015409264542,-0.0776591123079868,0.0239662421116051,0.986422018348624,0.0352293577981651,0.103170802066941,-0.0679414442687759,0.537186211331483,0.280121541539144,0.289140123419418,475,540,540,"Sapong"
"Michael","Barrios","Michael Barrios","FCD",2019,2948,"Wing",56,18,19.9352475111828,0.232142857142857,5,5.501,-0.77858796005976,-0.501094669724241,85,17.8083853089689,13,9.63474033309615,3.36525966690385,15.1358350028204,1.73497054798381,2.80670046066496,0.0982338333879329,0.113349886271719,-0.00894811910221858,0.0395912901988688,500,"FCD",2948,"Wing",1.8236092265943,0.586160108548168,0.162822252374491,0.179140124929962,-0.0253542890657181,-0.0163178725554705,2.76797829036635,0.423337856173677,0.313750024415614,0.109587831758063,0.492890149345576,0.0564983624852258,0.0913986581491982,500,483,474,"Barrios"
"Cristian","Espinoza","Cristian Espinoza","SJE",2019,2691,"Wing",95,35,25.6365939467183,0.221052631578947,2,4.47,-0.46875981945491,-2.47014820838411,82,17.5871564321078,10,10.6220785000215,-0.622078500021453,15.0922267084056,0.823482521970998,2.45040023426861,0.0470541916672012,0.129537542683188,-0.0260015600882538,-0.00758632317099333,550,"SJE",2691,"Wing",3.38907469342252,1.24860646599777,0.0713489409141583,0.159470170198764,-0.0167227583306099,-0.088121229284606,2.92530657748049,0.356744704570792,0.378937025641791,-0.0221923210709995,0.538407195840555,0.0293773029019754,0.0874167307654353,550,464,361,"Espinoza"
"Przemyslaw","Frankowski","Przemyslaw Frankowski","CHI",2019,2478,"Wing",55,24,20.1122150220857,0.181818181818182,5,7.167,-0.147563076407497,-2.16687500886384,47,18.248178162369,7,7.71145392801645,-0.711453928016449,14.8783289368803,2.3714659717356,3.07650640631704,0.130306818342979,0.164073487830137,-0.0393977274338881,-0.0151373176173713,662,"CHI",2478,"Wing",2.13075060532688,0.929782082324455,0.193704600484261,0.277651332062522,-0.00571672935234856,-0.0839467315782603,1.82082324455206,0.271186440677966,0.298748820455843,-0.027562379777877,0.576400152518365,0.0918727737234132,0.119186688864583,662,504,473,"Frankowski"
"Aleksandar","Katai","Aleksandar Katai","CHI",2019,2241,"Wing",105,31,23.9411620574918,0.219047619047619,6,6.62,-1.31870113899243,-0.620207441676819,34,13.8650439711866,6,8.1478359650003,-2.14783596500029,14.7680434066771,2.37148312773828,4.41667630540897,0.0630495946826364,0.239642234264715,-0.00590673753977923,-0.0631716460294204,1380,"CHI",2241,"Wing",4.49799196787149,1.32797858099063,0.257028112449799,0.283596570460051,-0.0564905441067707,-0.0265684580102519,1.45649263721553,0.257028112449799,0.349037149772436,-0.0920090373226364,0.632633720232487,0.101589638671519,0.189201662346837,1380,497,482,"Katai"
"Gonzalo","Martinez","Gonzalo Martinez","ATL",2019,2263,"CAM",83,24,24.618555388646,0.385542168674699,5,7.743,-1.4372123765676,-2.74319970065142,62,17.9082940973652,7,6.97488438665573,0.0251156133442738,14.7180840873072,3.08827908374179,5.39511669975247,0.0932915626584509,0.112498135268641,-0.0330505988030292,0.000405090537810868,900,"ATL",2263,"CAM",3.52098983650022,1.0181175430844,0.212107821475917,0.328478643951629,-0.0609687972383959,-0.116370822475712,2.63013698630137,0.296950950066284,0.295885506459987,0.00106544360629708,0.624364150411616,0.131009629712422,0.228869289958567,900,511,468,"Martinez"
"Gyasi","Zardes","Gyasi Zardes","CLB",2019,2657,"F",61,26,12.4546609921874,0.180327868852459,13,12.844,0.754085133958645,0.155995054060391,28,21.8627816074931,2,1.8710294376192,0.128970562380804,14.7150343835588,7.93592132970402,9.67021805078735,0.210557458130158,0.0668224799149713,0.00255729596820313,0.00460609151360013,1472,"CLB",2657,"F",2.20398946179902,0.939405344373353,0.469702672186677,0.464066418822056,0.0272458309597403,0.00563625336462083,1.01166729394053,0.072261949567181,0.0676021174299747,0.00465983213720631,0.531668536252031,0.286732573448094,0.34939440454482,1472,541,541,"Zardes"
"Kacper","Przybylko","Kacper Przybylko","PHI",2019,2417,"F",81,37,15.8161734778761,0.148148148148148,15,11.674,1.09575122830706,3.32562456220635,27,19.7978071258976,4,3.0053850616383,0.994614938361704,14.6797604994319,11.4322644017327,8.02018682184966,0.144128091824613,0.111310557838455,0.0410570933605723,0.0368375903096927,277,"PHI",2417,"F",3.21721141911461,1.46959040132396,0.59577989242863,0.463690542833343,0.0435217699286213,0.132089349595288,1.07240380637153,0.158874637980968,0.119369865915298,0.0395047720656697,0.583060408748642,0.454074217031997,0.318551069465274,277,537,545,"Przybylko"
"Nani","Nani","Nani","ORL",2019,2447,"Wing",64,25,22.0817258579592,0.46875,12,8.297,1.88803227983656,3.70312585137518,68,18.816898997951,5,5.96724109418615,-0.967241094186151,14.264115242811,9.69135368722113,6.85885718816549,0.129638658572263,0.0877535455027375,0.0578613414277372,-0.0142241337380316,2486,"ORL",2447,"Wing",2.51082958724969,0.980792807519412,0.470780547609318,0.325500579594599,0.0740707392171271,0.145279968014719,2.6677564364528,0.196158561503882,0.234105085836482,-0.0379465243325993,0.55960566543108,0.380208399662128,0.269084711918221,2486,516,534,"Nani"
"Raul","Ruidiaz","Raul Ruidiaz","SEA",2019,1920,"F",72,28,15.9215727440123,0.180555555555556,11,11.817,-0.819708312610938,-0.817138238877014,18,21.2050477775431,2,2.26952428944465,-0.269524289444651,14.0866625283217,5.604135025198,7.57952407687628,0.164126919984403,0.126084682746925,-0.0113491422066252,-0.0149735716358139,1800,"SEA",1920,"F",3.6,1.4,0.55,0.590856911943851,-0.0409854156305469,-0.0408569119438507,0.9,0.1,0.113476214472233,-0.0134762144722326,0.704333126416083,0.2802067512599,0.378976203843814,1800,538,529,"Ruidiaz"
"Magnus","Eriksson","Magnus Eriksson","SJE",2019,3006,"CAM",88,23,25.082883869586,0.284090909090909,6,5.848,-1.39749133816627,0.151764669277412,101,20.1227396907158,7,7.86553233753853,-0.86553233753853,13.7137676682611,3.02175243623358,3.27807377437108,0.0664572196673021,0.0778765577974112,0.00172459851451605,-0.00856962710434188,450,"SJE",3006,"CAM",2.81037924151697,0.734530938123752,0.191616766467066,0.186769990601919,-0.0446304618975256,0.00484677586514689,3.22554890219561,0.223552894211577,0.251194645510213,-0.0276417512986357,0.437964636112131,0.0965030718158429,0.104688982814246,450,491,477,"Eriksson"
"Albert","Rusnak","Albert Rusnak","RSL",2019,2615,"CAM",76,30,23.6519865858474,0.355263157894737,10,8.305,1.2682031025998,1.6945334005661,71,21.0607234686198,3,5.02245865258035,-2.02245865258035,13.3279252520142,5.87434978207137,5.04313152287968,0.109282455255709,0.070738854261695,0.0222964921127118,-0.0284853331349345,2002,"RSL",2615,"CAM",2.79005736137667,1.10133843212237,0.367112810707457,0.304904318755508,0.0465573605543331,0.0622084919519486,2.60650095602294,0.110133843212237,0.184380891261076,-0.0742470480488388,0.489285210016584,0.215654905957496,0.185139818813174,2002,517,520,"Rusnak"
"Felipe","Gutierrez","Felipe Gutierrez","SKC",2019,2902,"CM",65,28,21.9594508091715,0.507692307692308,12,9.718,-0.636012469789826,2.2815991121199,52,22.0101953098472,1,3.4405113592641,-2.4405113592641,13.1589122471442,5.99936219421637,5.99497896398477,0.14951385981354,0.0661636799858481,0.0351015248018447,-0.0469329107550789,1650,"SKC",2902,"CM",2.15024121295658,0.926257753273604,0.39696760854583,0.321490863279286,-0.0210396957614829,0.075476745266544,1.72019297036527,0.0330806340454859,0.113814297205153,-0.0807336631596671,0.435305160484439,0.198462705253195,0.198317705217966,1650,532,538,"Gutierrez"
"Julian","Gressel","Julian Gressel","ATL",2019,2847,"FB/WB",69,24,22.145550757477,0.246376811594203,6,5.53,-0.048773160483135,0.470148408162128,69,15.9428998351385,11,7.13999948836348,3.86000051163652,12.6698510802013,3.4357339517639,3.64602097407386,0.0801427766933025,0.103478253454543,0.00681374504582794,0.0559420364005293,133,"ATL",2847,"FB/WB",2.32665964172813,0.80927291886196,0.20231822971549,0.186464964108337,-0.00164461658109623,0.0158532656071529,2.32665964172813,0.370916754478398,0.2407586761092,0.130158078369198,0.427223640217538,0.115851935149046,0.122942751496695,133,485,491,"Gressel"
"Uriel","Antuna","Uriel Antuna","LAG",2019,2557,"Wing",48,17,14.9656795042012,0.208333333333333,6,7.586,-0.652246975555429,-1.58632575364848,34,16.1719785276893,5,5.0458522702487,-0.0458522702486975,12.6321780238972,4.30860189818067,4.82493242512838,0.15804845320101,0.148407419713197,-0.03304845320101,-0.00134859618378522,420,"LAG",2557,"Wing",1.80211184982401,0.638247946812671,0.225263981228002,0.284820990359896,-0.0244879584095898,-0.0595570091318944,1.27649589362534,0.187719984356668,0.189441461847429,-0.00172147749076064,0.474262452207325,0.161762136185117,0.181147247873416,420,510,493,"Antuna"
"Jozy","Altidore","Jozy Altidore","TOR",2019,1799,"F",50,24,15.0754101692985,0.12,11,8.642,1.69789745157972,2.35785835092096,23,17.119844992374,5,3.71815560471432,1.28184439528568,12.3602972537934,7.51577244498885,5.81690471185609,0.172842832981581,0.161658939335405,0.0471571670184192,0.0557323650124207,6332,"TOR",1799,"F",2.66814897165092,1.28071150639244,0.586992773763202,0.461170427077036,0.0906048667880228,0.125822346686166,1.22734852695942,0.266814897165092,0.198411861063132,0.0684030361019594,0.659582288140169,0.401064010405186,0.310407366502604,6332,523,531,"Altidore"
"Cristian","Penilla","Cristian Penilla","NER",2019,1915,"Wing",58,20,18.8589705374768,0.224137931034483,6,6.934,0.280026647239157,-0.933951969392108,45,20.3123549688405,5,5.3242087314681,-0.324208731468103,12.2581607008602,4.04105325440691,4.6702168644468,0.119550896024002,0.11831574958818,-0.0161026201619329,-0.00720463847706895,550,"NER",1915,"Wing",2.90757180156658,1.00261096605744,0.300783289817232,0.347602814131406,0.0140378893655139,-0.0468195243141735,2.25587467362924,0.25065274151436,0.266905502987435,-0.0162527614730746,0.614508317118841,0.202580215364524,0.234120532108038,550,502,483,"Penilla"
"Johnny","Russell","Johnny Russell","SKC",2019,2270,"Wing",56,22,19.6677653093356,0.410714285714286,9,5.426,1.0905051518652,3.5742349530282,63,16.0970280453337,6,6.76414239203306,-0.764142392033061,12.1899074390049,5.67821573533646,3.47713255622747,0.0968886615530678,0.10736733955608,0.0638256241612179,-0.0121292443179851,1700,"SKC",2270,"Wing",2.36828193832599,0.930396475770925,0.380616740088106,0.22945966718471,0.0461182795502461,0.151157072903395,2.66431718061674,0.253744493392071,0.286060647416376,-0.0323161540243056,0.515520314601087,0.240135995855639,0.147050539822836,1700,478,519,"Russell"
"Valentin","Castellanos","Valentin Castellanos","NYC",2019,2219,"F",79,31,18.9297681508236,0.215189873417722,11,8.402,0.984530209169725,2.59844657434014,33,20.1901080681747,6,3.71422802816479,2.28577197183521,12.1157814538247,9.23244020356026,6.38035848625391,0.106348777539998,0.112552364489842,0.0328917287891157,0.0692658173283396,275,"NYC",2219,"F",3.41775574583146,1.34114465975665,0.47589004055881,0.36347414549948,0.0425934655611958,0.11241589505933,1.42767012167643,0.259576385759351,0.160687647906183,0.0988887378531681,0.524161793405663,0.399420576629917,0.276031732618466,275,518,530,"Castellanos"
"Danny","Hoesen","Danny Hoesen","SJE",2019,1643,"F",59,25,16.6429617679399,0.11864406779661,5,8.857,-1.1278266077985,-3.8567799956943,25,18.5464648775853,3,3.22765363630884,-0.227653636308843,12.0844336320031,4.19321088369281,6.10657305086356,0.150114915181259,0.129106145452354,-0.0653691524693948,-0.00910614545235371,550,"SJE",1643,"F",3.44735240413877,1.4607425441266,0.29214850882532,0.517499013747202,-0.0658985723363703,-0.225350504921882,1.4607425441266,0.175289105295192,0.18859083937045,-0.013301734075258,0.706089853117651,0.245008061372191,0.356805242168534,550,524,462,"Hoesen"
"Valeri","Qazaishvili","Valeri Qazaishvili","SJE",2019,2260,"Wing",110,36,21.2428420461455,0.136363636363636,8,8.41,-0.0880293523644333,-0.40964353581035,36,20.223140547765,5,3.62926363846725,1.37073636153275,12.0389071742776,4.41128554337617,4.80667534495829,0.0764513048710032,0.100812878846312,-0.00372403214373045,0.0380760100425765,1604,"SJE",2260,"Wing",4.67256637168142,1.52920353982301,0.339823008849558,0.357223796211413,-0.00373929992344496,-0.0174007873618556,1.52920353982301,0.212389380530973,0.154163411191529,0.0582259693394444,0.511387207402942,0.187382040780581,0.204177359785839,1604,519,508,"Qazaishvili"
"Krisztian","Nemeth","Krisztian Nemeth","SKC",2019,1679,"F",53,17,14.7826535924345,0.132075471698113,8,9.583,-1.51700205591058,-1.58304139811938,22,22.4607247019962,2,2.41705743415934,-0.417057434159342,12.0000988322787,4.26349583923242,4.16854459344885,0.180812101851309,0.109866247007243,-0.029868705624894,-0.0189571560981519,1064,"SKC",1679,"F",3.03037522334723,0.972007147111376,0.457415128052412,0.547928513531543,-0.0867374612075137,-0.0905133854791308,1.25789160214413,0.114353782013103,0.138199829469504,-0.0238460474564008,0.686128343001047,0.243773436906678,0.238344419875574,1064,531,510,"Nemeth"
"Dominic","Dwyer","Dominic Dwyer","ORL",2019,1738,"F",65,26,16.5710659315047,0.107692307692308,7,9.559,-0.772846983470201,-2.55900812510975,9,12.6897337704994,3,2.25723692030252,0.742763079697483,11.8162450454123,3.35651985412727,6.10135741902658,0.147061663463227,0.250804102255835,-0.0393693557709192,0.0825292310774981,1503,"ORL",1738,"F",3.590333716916,1.4361334867664,0.386651323360184,0.528000448797777,-0.0426889012733828,-0.141349125437592,0.497123130034522,0.165707710011507,0.124680520338919,0.0410271896725882,0.652680969136696,0.185400406211863,0.337013988622872,1503,530,498,"Dwyer"
"Pedro","Santos","Pedro Santos","CLB",2019,2981,"Wing",75,21,25.3883675886171,0.36,11,5.321,0.392843199159905,5.67876327867408,63,17.2826028433724,5,6.27538247753792,-1.27538247753792,11.5966191988638,7.91043830229246,3.86957224951395,0.0709498229510122,0.0996092456752051,0.0757168437156545,-0.0202441663101258,865,"CLB",2981,"Wing",2.41529688024153,0.676283126467628,0.354243542435424,0.171364886027269,0.0126511060447336,0.182878656408156,2.02884937940288,0.161019792016102,0.202092156270929,-0.0410723642548274,0.373457042298198,0.254747426038268,0.124615543761603,865,474,525,"Santos"
"Latif","Blessing","Latif Blessing","LAFC",2019,2900,"CM",43,10,18.2444805211318,0.325581395348837,6,6.791,-1.36913395292959,-0.790821326054042,42,21.1572174222845,3,4.78123364303131,-1.78123364303131,11.5720549690854,2.38954954983031,3.56641788402155,0.157926077350094,0.11383889626265,-0.0183911936291638,-0.0424103248340788,103,"LAFC",2900,"CM",1.42344827586207,0.331034482758621,0.198620689655172,0.224799602517651,-0.0453230549935314,-0.0261789128624786,1.39034482758621,0.0993103448275862,0.158275320596899,-0.0589649757693124,0.38307492311455,0.0791023299254173,0.118060729953817,103,499,492,"Blessing"
